feature,importance
g_beyond_1std,0.0018247112
color_g_minus_r_median,0.0018139336
i_time_after_peak,0.0018130102
g_rise_rate,0.001802965
y_flux_skew,0.0017787735
u_flux_positive_frac,0.0017767547
u_time_to_peak,0.0017726899
u_gp_peak_time,0.0017689731
z_amplitude,0.0017611202
u_median_time_gap,0.001760253
y_duration,0.0017565121
y_time_to_peak,0.0017530553
g_max_time_gap,0.0017302865
z_flux_95th,0.0017302582
flux_ratio_r_over_i,0.001705896
color_r_minus_i,0.001697416
i_chi2_per_dof,0.0016919681
g_flux_iqr_ratio,0.0016906442
u_gp_flux_std,0.0016814942
g_flux_min,0.0016682465
i_std_time_gap,0.0016655247
g_gp_rise_slope,0.0016572336
g_flux_iqr,0.0016535852
y_flux_05th,0.0016397507
z_std_time_gap,0.0016366388
g_flux_90th,0.0016345463
u_beyond_1std,0.0016222572
z_time_to_peak,0.0016213143
r_duration,0.0016192029
y_gp_flux_max,0.0016073559
y_flux_early_mean,0.0015984256
u_mean_time_gap,0.0015894114
y_rise_decline_ratio,0.0015892625
peak_time_diff_g_r,0.0015883285
z_n_observations,0.0015865396
y_flux_median,0.0015829313
amplitude_ratio_r_i,0.0015696494
u_gp_peak_flux,0.0015669977
r_rise_decline_ratio,0.0015580247
g_flux_evolution_ratio,0.0015514601
y_gp_peak_time,0.0015480627
r_flux_min,0.0015434839
g_decline_rate,0.0015432892
i_flux_05th,0.0015240875
y_mad,0.0015224005
r_beyond_2std,0.00152185
i_mad,0.0015058886
z_duration,0.0015026517
g_flux_late_mean,0.0015013085
i_gp_var_slope,0.0015008777
z_flux_min,0.0014939855
r_flux_75th,0.0014873105
g_max_consecutive_dec,0.001482358
z_flux_kurtosis,0.001454694
z_std_flux_change,0.0014445045
g_rise_decline_ratio,0.0014342117
r_flux_rms,0.0014332548
i_flux_rms,0.0014329068
y_gp_flux_min,0.0014323649
i_flux_90th,0.0014105759
i_flux_median,0.0014034647
r_mean_abs_flux_change,0.0013994218
g_rise_decline_symmetry,0.0013983165
u_rise_decline_symmetry,0.0013976311
u_flux_skew,0.0013955359
r_rise_decline_symmetry,0.0013757021
u_n_observations,0.0013724187
u_flux_range,0.0013645279
i_mean_abs_flux_change,0.0013620816
z_flux_iqr_ratio,0.0013616225
i_n_observations,0.0013590768
g_gp_peak_time,0.0013559955
g_gp_decline_slope,0.001346879
i_flux_early_mean,0.0013426725
y_mean_abs_flux_change,0.0013412851
y_flux_mean,0.0013403714
y_flux_std,0.0013340515
i_time_to_peak,0.0013307685
z_flux_positive_frac,0.0013278236
i_flux_range,0.0013058677
y_min_time_gap,0.0013037918
y_beyond_2std,0.0012990409
u_flux_iqr,0.0012885124
i_max_consecutive_dec,0.0012874028
y_flux_above_mean_frac,0.0012660602
i_max_flux_change,0.0012564879
y_flux_weighted_std,0.0012540265
g_min_time_gap,0.0012502531
z_peak_position_ratio,0.0012495543
i_flux_iqr_ratio,0.0012417713
i_rise_decline_ratio,0.0012333678
i_beyond_2std,0.0012327577
y_flux_evolution_ratio,0.0012321061
r_flux_90th,0.0012310665
r_flux_kurtosis,0.001224414
u_gp_var_slope,0.0012219718
u_rise_decline_ratio,0.0012076104
i_median_time_gap,0.0012038635
i_flux_kurtosis,0.0011939342
u_flux_25th,0.0011898361
y_flux_95th,0.0011612889
y_flux_evolution,0.0011506266
y_max_flux_change,0.0011489218
i_rise_rate,0.0011378076
z_mean_time_gap,0.001134755
z_chi2_per_dof,0.0011276933
r_chi2_per_dof,0.0011255826
u_flux_05th,0.0011225368
y_beyond_1std,0.0011135524
r_gp_var_slope,0.0010986319
y_flux_positive_frac,0.0010977363
u_time_after_peak,0.001096718
r_amplitude,0.0010884927
y_flux_10th,0.0010843239
z_flux_std,0.0010720128
i_flux_95th,0.001070785
y_flux_min,0.0010548772
u_flux_evolution_ratio,0.0010499842
g_gp_flux_min,0.0010486429
u_flux_kurtosis,0.0010258419
u_gp_smoothness,0.0010254148
u_flux_rms,0.0010142969
u_duration,0.0010099316
y_time_after_peak,0.0010008338
u_peak_position_ratio,0.000996596
z_flux_75th,0.000977285
g_amplitude,0.000967188
y_rise_rate,0.0009661447
g_peak_position_ratio,0.0009574787
y_gp_flux_std,0.00094916706
r_rise_rate,0.0009469199
g_flux_kurtosis,0.0009413939
r_median_time_gap,0.0009351135
u_std_time_gap,0.0009318132
z_flux_mean,0.00092854834
r_flux_early_mean,0.0009211178
y_decline_rate,0.00090968236
y_flux_iqr,0.00089666876
z_decline_rate,0.00088356575
i_gp_flux_mean,0.000883309
z_flux_90th,0.0008687658
y_median_time_gap,0.000862972
y_flux_above_median_frac,0.00085605204
y_max_time_gap,0.0008526442
y_flux_75th,0.00084851624
r_n_observations,0.0008390031
y_gp_var_slope,0.00083275087
i_rise_decline_symmetry,0.0008281938
u_mad,0.0008276083
u_gp_flux_min,0.00081584306
g_time_to_peak,0.000813717
g_flux_above_median_frac,0.00081278826
g_std_time_gap,0.00081116514
i_flux_late_mean,0.0007907873
z_flux_evolution_ratio,0.000785975
z_gp_flux_mean,0.0007763874
y_flux_max,0.00077501417
y_flux_late_mean,0.0007308771
i_gp_peak_time,0.00071860367
z_mean_abs_flux_change,0.0007184626
g_max_consecutive_inc,0.000702216
z_flux_above_median_frac,0.0006971537
g_duration,0.0006808848
y_flux_rms,0.00067132927
r_gp_peak_flux,0.0006671504
u_flux_std,0.00066356355
r_max_consecutive_dec,0.0006518389
y_flux_iqr_ratio,0.000617772
g_flux_weighted_std,0.0006102713
i_gp_flux_max,0.00058168184
u_mean_abs_flux_change,0.00056037854
u_std_flux_change,0.00055733946
y_std_flux_change,0.0005494508
g_flux_range,0.0005296669
i_flux_max,0.0005081955
u_rise_rate,0.00047935348
y_rise_decline_symmetry,0.00046818578
y_flux_90th,0.00042197815
i_max_consecutive_inc,0.0003959964
i_flux_weighted_mean,0.0003668912
u_flux_above_median_frac,0.00034868627
y_n_observations,0.00034538025
g_flux_mean,0.00034498074
z_max_consecutive_inc,0.00032623124
y_gp_flux_mean,0.00029252443
r_std_flux_change,3.6387497e-05
i_gp_peak_flux,0.0
i_flux_std,0.0
i_peak_flux,0.0
z_peak_flux,0.0
z_gp_peak_flux,0.0
g_peak_flux,0.0
z_max_consecutive_dec,0.0
y_peak_flux,0.0
u_peak_flux,0.0
y_max_consecutive_inc,0.0
