Method,Mean_F1,Std_F1,Mean_Threshold
Weighted_Ensemble,0.5527986652080126,0.07167203041209591,0.20899999999999994
XGBoost_Optimized,0.5419973543616171,0.06208552031582164,0.2599999999999999
XGBoost_SMOTETomek,0.5356879284057502,0.07330284759882151,0.2259999999999999
XGBoost_ADASYN,0.5313692882758306,0.07206861234733916,0.2299999999999999
XGBoost_SMOTE,0.49624697336561746,0.03591869112807022,0.4
